[run number],bin-placement,laziness-factor,litter-sensitivity-factor,group-litter-factor,arrival-rate,initial-litter,[step],total-litter-events,bin-utilization-rate,total-agents-spawned,ticks
223,1,0.0,0.0,1.0,2.5,0,7500,29,0.05416666667,433,7500
224,1,0.0,0.0,1.0,2.5,0,7500,31,0.07083333333,500,7500
225,1,0.0,0.0,1.0,2.5,0,7500,30,0.09583333333,510,7500
226,1,0.0,0.0,1.0,2.5,0,7500,30,0.09166666667,468,7500
227,1,0.0,0.0,1.0,2.5,0,7500,33,0.0875,478,7500
228,1,0.0,0.0,1.0,2.5,0,7500,20,0.1166666667,478,7500
229,1,0.0,0.0,1.0,2.5,0,7500,22,0.1041666667,492,7500
230,1,0.0,0.0,1.0,2.5,0,7500,23,0.07083333333,466,7500
231,1,0.0,0.0,1.0,2.5,0,7500,20,0.08333333333,455,7500
232,1,0.0,0.0,1.0,2.5,0,7500,25,0.07916666667,468,7500
233,1,0.0,0.0,1.0,2.5,0,7500,26,0.1083333333,453,7500
234,1,0.0,0.0,1.0,2.5,0,7500,42,0.09166666667,510,7500
235,1,0.0,0.0,1.0,2.5,0,7500,27,0.1083333333,480,7500
236,1,0.0,0.0,1.0,2.5,0,7500,21,0.07083333333,473,7500
237,1,0.0,0.0,1.0,2.5,0,7500,26,0.06666666667,452,7500
238,1,0.0,0.0,1.0,2.5,0,7500,27,0.075,481,7500
239,1,0.0,0.0,1.0,2.5,0,7500,34,0.08333333333,478,7500
240,1,0.0,0.0,1.0,2.5,0,7500,19,0.1083333333,495,7500
241,1,0.0,0.0,1.0,5.0,0,7500,59,0.2,1009,7500
242,1,0.0,0.0,1.0,5.0,0,7500,58,0.1833333333,908,7500
243,1,0.0,0.0,1.0,5.0,0,7500,68,0.1916666667,963,7500
244,1,0.0,0.0,1.0,5.0,0,7500,68,0.1333333333,941,7500
245,1,0.0,0.0,1.0,5.0,0,7500,52,0.2,990,7500
246,1,0.0,0.0,1.0,5.0,0,7500,57,0.1666666667,960,7500
247,1,0.0,0.0,1.0,5.0,0,7500,53,0.2125,966,7500
248,1,0.0,0.0,1.0,5.0,0,7500,69,0.1833333333,1017,7500
249,1,0.0,0.0,1.0,5.0,0,7500,59,0.1583333333,982,7500
250,1,0.0,0.0,1.0,5.0,0,7500,59,0.2125,995,7500
251,1,0.0,0.0,1.0,5.0,0,7500,64,0.1375,934,7500
252,1,0.0,0.0,1.0,5.0,0,7500,58,0.125,946,7500
253,1,0.0,0.0,1.0,5.0,0,7500,51,0.2291666667,1016,7500
254,1,0.0,0.0,1.0,5.0,0,7500,58,0.2041666667,951,7500
255,1,0.0,0.0,1.0,5.0,0,7500,54,0.1625,1002,7500
256,1,0.0,0.0,1.0,5.0,0,7500,66,0.1583333333,962,7500
257,1,0.0,0.0,1.0,5.0,0,7500,45,0.175,1023,7500
258,1,0.0,0.0,1.0,5.0,0,7500,46,0.2,1021,7500
259,1,0.0,0.0,1.0,5.0,0,7500,49,0.1375,948,7500
260,1,0.0,0.0,1.0,5.0,0,7500,59,0.1666666667,990,7500
261,1,0.0,0.0,1.0,5.0,0,7500,63,0.1833333333,990,7500
262,1,0.0,0.0,1.0,5.0,0,7500,60,0.1541666667,1035,7500
263,1,0.0,0.0,1.0,5.0,0,7500,58,0.2,1032,7500
264,1,0.0,0.0,1.0,5.0,0,7500,46,0.1833333333,910,7500
265,1,0.0,0.0,1.0,5.0,0,7500,66,0.1833333333,1039,7500
