"BehaviorSpace results (NetLogo 7.0.3)","Stats version 2.0"
"fuente-osmenia.nlogox"
"experiment"
"05/29/2026 00:33:24:518 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"bin-placement","laziness-factor","litter-sensitivity-factor","group-litter-factor","arrival-rate","initial-litter","[step]","(mean) total-litter-events","(std) total-litter-events","(mean) bin-utilization-rate","(std) bin-utilization-rate","(mean) total-agents-spawned","(std) total-agents-spawned","(mean) ticks","(std) ticks"
"1","0","0.5","0.5","2.5","0","1000","3.2333333333333334","1.6669999666733317","0.00902777777777778","0.005168831684980109","64.93333333333334","7.43385648383275","1000","0"
"1","0","0.5","0.5","2.5","0","1500","5.2","2.15096877398689","0.01638888888888889","0.0075256762134133705","97.1","9.24608025057105","1500","0"
"1","0","0.5","0.5","2.5","0","2000","7.066666666666666","2.2201101073795617","0.022222222222222223","0.008425417160057277","128.63333333333333","10.68482828853864","2000","0"
"1","0","0.5","0.5","2.5","0","2500","9.233333333333333","2.45877114745467","0.026527777777777782","0.007867782799038082","159.03333333333333","10.575075518511545","2500","0"
"1","0","0.5","0.5","2.5","0","3000","11.033333333333333","2.810496199764178","0.030694444444444448","0.008772018152576739","189.2","12.034395151675332","3000","0"
"1","0","0.5","0.5","2.5","0","3500","13.3","2.6975297341580253","0.037500000000000006","0.010430546308621438","221.03333333333333","10.687947521494584","3500","0"
"1","0","0.5","0.5","2.5","0","4000","14.9","2.9591665493288253","0.042916666666666665","0.011544499251286863","251.96666666666667","11.928909794649671","4000","0"
"1","0","0.5","0.5","2.5","0","4500","16.8","3.166491223210112","0.0488888888888889","0.012771737702858497","286.3666666666667","13.01917389425646","4500","0"
"1","0","0.5","0.5","2.5","0","5000","18.7","3.643716051871587","0.05541666666666667","0.013909013198216044","318.43333333333334","14.983731919058826","5000","0"
"1","0","0.5","0.5","2.5","0","5500","20.933333333333334","3.758841429069453","0.06055555555555556","0.015012854574301841","350.53333333333336","15.099080178018204","5500","0"
"1","0","0.5","0.5","2.5","0","6000","22.866666666666667","3.8620662287893968","0.06625","0.015416666666666669","381.43333333333334","15.753694452060724","6000","0"
"1","0","0.5","0.5","2.5","0","6500","24.8","4.770744176750626","0.07208333333333335","0.01559580606017742","413.96666666666664","17.09870040545642","6500","0"
"1","0","0.5","0.5","2.5","0","7000","26.9","5.223983154643591","0.07666666666666666","0.015463517399685314","445.6666666666667","17.440056065149435","7000","0"
"1","0","0.5","0.5","2.5","0","7500","28.8","5.623759122390171","0.08180555555555556","0.01739663033215284","479","17.247221998532595","7500","0"
"1","0","0.5","0.5","5","0","0","0","0","0","0","0","0","0","0"
"1","0","0.5","0.5","5","0","500","2.533333333333333","1.4772346537440224","0.006111111111111111","0.004898664469041222","68.36666666666666","8.400330681321751","500","0"
