"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"fuente-osmenia.nlogox"
"experiment-2"
"05/29/2026 00:39:00:328 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","bin-placement","laziness-factor","litter-sensitivity-factor","group-litter-factor","arrival-rate","initial-litter","[step]","total-litter-events","bin-utilization-rate","total-agents-spawned","ticks"
"21","3","0","0","0","0","0","500","0","0","0","500"
"15","3","0","0","0","0","0","2000","0","0","0","2000"
"13","3","0","0","0","0","0","2500","0","0","0","2500"
"22","3","0","0","0","0","0","500","0","0","0","500"
"17","3","0","0","0","0","0","1500","0","0","0","1500"
"1","3","0","0","0","0","0","6500","0","0","0","6500"
"19","3","0","0","0","0","0","1000","0","0","0","1000"
"23","3","0","0","0","0","0","500","0","0","0","500"
"16","3","0","0","0","0","0","2000","0","0","0","2000"
"14","3","0","0","0","0","0","2500","0","0","0","2500"
"20","3","0","0","0","0","0","1000","0","0","0","1000"
"18","3","0","0","0","0","0","1500","0","0","0","1500"
"15","3","0","0","0","0","0","2500","0","0","0","2500"
"13","3","0","0","0","0","0","3000","0","0","0","3000"
"21","3","0","0","0","0","0","1000","0","0","0","1000"
"17","3","0","0","0","0","0","2000","0","0","0","2000"
"22","3","0","0","0","0","0","1000","0","0","0","1000"
"16","3","0","0","0","0","0","2500","0","0","0","2500"
"19","3","0","0","0","0","0","1500","0","0","0","1500"
"23","3","0","0","0","0","0","1000","0","0","0","1000"
"14","3","0","0","0","0","0","3000","0","0","0","3000"
"1","3","0","0","0","0","0","7000","0","0","0","7000"
"13","3","0","0","0","0","0","3500","0","0","0","3500"
"20","3","0","0","0","0","0","1500","0","0","0","1500"
"15","3","0","0","0","0","0","3000","0","0","0","3000"
"18","3","0","0","0","0","0","2000","0","0","0","2000"
"21","3","0","0","0","0","0","1500","0","0","0","1500"
"17","3","0","0","0","0","0","2500","0","0","0","2500"
"22","3","0","0","0","0","0","1500","0","0","0","1500"
"16","3","0","0","0","0","0","3000","0","0","0","3000"
"19","3","0","0","0","0","0","2000","0","0","0","2000"
"14","3","0","0","0","0","0","3500","0","0","0","3500"
"23","3","0","0","0","0","0","1500","0","0","0","1500"
"13","3","0","0","0","0","0","4000","0","0","0","4000"
"15","3","0","0","0","0","0","3500","0","0","0","3500"
"20","3","0","0","0","0","0","2000","0","0","0","2000"
"18","3","0","0","0","0","0","2500","0","0","0","2500"
"1","3","0","0","0","0","0","7500","0","0","0","7500"
"21","3","0","0","0","0","0","2000","0","0","0","2000"
"24","3","0","0","0","0","0","0","0","0","0","0"
"17","3","0","0","0","0","0","3000","0","0","0","3000"
"14","3","0","0","0","0","0","4000","0","0","0","4000"
"16","3","0","0","0","0","0","3500","0","0","0","3500"
"22","3","0","0","0","0","0","2000","0","0","0","2000"
"19","3","0","0","0","0","0","2500","0","0","0","2500"
"13","3","0","0","0","0","0","4500","0","0","0","4500"
"23","3","0","0","0","0","0","2000","0","0","0","2000"
"20","3","0","0","0","0","0","2500","0","0","0","2500"
"15","3","0","0","0","0","0","4000","0","0","0","4000"
"18","3","0","0","0","0","0","3000","0","0","0","3000"
"21","3","0","0","0","0","0","2500","0","0","0","2500"
"14","3","0","0","0","0","0","4500","0","0","0","4500"
"17","3","0","0","0","0","0","3500","0","0","0","3500"
"22","3","0","0","0","0","0","2500","0","0","0","2500"
"16","3","0","0","0","0","0","4000","0","0","0","4000"
"19","3","0","0","0","0","0","3000","0","0","0","3000"
"13","3","0","0","0","0","0","5000","0","0","0","5000"
"24","3","0","0","0","0","0","500","0","0","0","500"
"23","3","0","0","0","0","0","2500","0","0","0","2500"
"15","3","0","0","0","0","0","4500","0","0","0","4500"
"20","3","0","0","0","0","0","3000","0","0","0","3000"
"18","3","0","0","0","0","0","3500","0","0","0","3500"
"21","3","0","0","0","0","0","3000","0","0","0","3000"
"17","3","0","0","0","0","0","4000","0","0","0","4000"
"14","3","0","0","0","0","0","5000","0","0","0","5000"
"19","3","0","0","0","0","0","3500","0","0","0","3500"
"22","3","0","0","0","0","0","3000","0","0","0","3000"
"16","3","0","0","0","0","0","4500","0","0","0","4500"
"13","3","0","0","0","0","0","5500","0","0","0","5500"
"23","3","0","0","0","0","0","3000","0","0","0","3000"
"15","3","0","0","0","0","0","5000","0","0","0","5000"
"24","3","0","0","0","0","0","1000","0","0","0","1000"
"20","3","0","0","0","0","0","3500","0","0","0","3500"
"18","3","0","0","0","0","0","4000","0","0","0","4000"
"21","3","0","0","0","0","0","3500","0","0","0","3500"
"14","3","0","0","0","0","0","5500","0","0","0","5500"
"17","3","0","0","0","0","0","4500","0","0","0","4500"
"19","3","0","0","0","0","0","4000","0","0","0","4000"
"13","3","0","0","0","0","0","6000","0","0","0","6000"
"16","3","0","0","0","0","0","5000","0","0","0","5000"
"22","3","0","0","0","0","0","3500","0","0","0","3500"
"15","3","0","0","0","0","0","5500","0","0","0","5500"
"23","3","0","0","0","0","0","3500","0","0","0","3500"
"20","3","0","0","0","0","0","4000","0","0","0","4000"
"18","3","0","0","0","0","0","4500","0","0","0","4500"
"14","3","0","0","0","0","0","6000","0","0","0","6000"
"21","3","0","0","0","0","0","4000","0","0","0","4000"
"24","3","0","0","0","0","0","1500","0","0","0","1500"
"17","3","0","0","0","0","0","5000","0","0","0","5000"
"13","3","0","0","0","0","0","6500","0","0","0","6500"
"19","3","0","0","0","0","0","4500","0","0","0","4500"
"16","3","0","0","0","0","0","5500","0","0","0","5500"
"22","3","0","0","0","0","0","4000","0","0","0","4000"
"15","3","0","0","0","0","0","6000","0","0","0","6000"
"20","3","0","0","0","0","0","4500","0","0","0","4500"
"23","3","0","0","0","0","0","4000","0","0","0","4000"
"14","3","0","0","0","0","0","6500","0","0","0","6500"
"18","3","0","0","0","0","0","5000","0","0","0","5000"
"21","3","0","0","0","0","0","4500","0","0","0","4500"
"13","3","0","0","0","0","0","7000","0","0","0","7000"
"17","3","0","0","0","0","0","5500","0","0","0","5500"
"19","3","0","0","0","0","0","5000","0","0","0","5000"
"16","3","0","0","0","0","0","6000","0","0","0","6000"
"22","3","0","0","0","0","0","4500","0","0","0","4500"
"24","3","0","0","0","0","0","2000","0","0","0","2000"
"15","3","0","0","0","0","0","6500","0","0","0","6500"
"14","3","0","0","0","0","0","7000","0","0","0","7000"
"23","3","0","0","0","0","0","4500","0","0","0","4500"
"20","3","0","0","0","0","0","5000","0","0","0","5000"
"13","3","0","0","0","0","0","7500","0","0","0","7500"
"18","3","0","0","0","0","0","5500","0","0","0","5500"
"21","3","0","0","0","0","0","5000","0","0","0","5000"
"25","3","0","0","0","0","0","0","0","0","0","0"
"17","3","0","0","0","0","0","6000","0","0","0","6000"
"19","3","0","0","0","0","0","5500","0","0","0","5500"
"16","3","0","0","0","0","0","6500","0","0","0","6500"
"22","3","0","0","0","0","0","5000","0","0","0","5000"
"14","3","0","0","0","0","0","7500","0","0","0","7500"
"15","3","0","0","0","0","0","7000","0","0","0","7000"
"26","3","0","0","0","0","0","0","0","0","0","0"
"20","3","0","0","0","0","0","5500","0","0","0","5500"
"24","3","0","0","0","0","0","2500","0","0","0","2500"
"23","3","0","0","0","0","0","5000","0","0","0","5000"
"25","3","0","0","0","0","0","500","0","0","0","500"
"18","3","0","0","0","0","0","6000","0","0","0","6000"
"21","3","0","0","0","0","0","5500","0","0","0","5500"
"17","3","0","0","0","0","0","6500","0","0","0","6500"
"19","3","0","0","0","0","0","6000","0","0","0","6000"
"16","3","0","0","0","0","0","7000","0","0","0","7000"
"22","3","0","0","0","0","0","5500","0","0","0","5500"
"26","3","0","0","0","0","0","500","0","0","0","500"
"15","3","0","0","0","0","0","7500","0","0","0","7500"
"27","3","0","0","0","0","0","0","0","0","0","0"
"20","3","0","0","0","0","0","6000","0","0","0","6000"
"23","3","0","0","0","0","0","5500","0","0","0","5500"
"25","3","0","0","0","0","0","1000","0","0","0","1000"
"18","3","0","0","0","0","0","6500","0","0","0","6500"
"21","3","0","0","0","0","0","6000","0","0","0","6000"
"24","3","0","0","0","0","0","3000","0","0","0","3000"
"17","3","0","0","0","0","0","7000","0","0","0","7000"
"19","3","0","0","0","0","0","6500","0","0","0","6500"
"16","3","0","0","0","0","0","7500","0","0","0","7500"
"28","3","0","0","0","0","0","0","0","0","0","0"
"22","3","0","0","0","0","0","6000","0","0","0","6000"
"26","3","0","0","0","0","0","1000","0","0","0","1000"
"27","3","0","0","0","0","0","500","0","0","0","500"
"20","3","0","0","0","0","0","6500","0","0","0","6500"
"25","3","0","0","0","0","0","1500","0","0","0","1500"
"18","3","0","0","0","0","0","7000","0","0","0","7000"
"23","3","0","0","0","0","0","6000","0","0","0","6000"
"21","3","0","0","0","0","0","6500","0","0","0","6500"
"28","3","0","0","0","0","0","500","0","0","0","500"
"17","3","0","0","0","0","0","7500","0","0","0","7500"
"29","3","0","0","0","0","0","0","0","0","0","0"
"19","3","0","0","0","0","0","7000","0","0","0","7000"
"26","3","0","0","0","0","0","1500","0","0","0","1500"
